index	book	title	url
0	A Game of Thrones	Prologue	/index.php/A_Game_of_Thrones-Prologue
1	A Game of Thrones	Bran I	/index.php/A_Game_of_Thrones-Chapter_1
2	A Game of Thrones	Catelyn I	/index.php/A_Game_of_Thrones-Chapter_2
3	A Game of Thrones	Daenerys I	/index.php/A_Game_of_Thrones-Chapter_3
4	A Game of Thrones	Eddard I	/index.php/A_Game_of_Thrones-Chapter_4
5	A Game of Thrones	Jon I	/index.php/A_Game_of_Thrones-Chapter_5
6	A Game of Thrones	Catelyn II	/index.php/A_Game_of_Thrones-Chapter_6
7	A Game of Thrones	Arya I	/index.php/A_Game_of_Thrones-Chapter_7
8	A Game of Thrones	Bran II	/index.php/A_Game_of_Thrones-Chapter_8
9	A Game of Thrones	Tyrion I	/index.php/A_Game_of_Thrones-Chapter_9
10	A Game of Thrones	Jon II	/index.php/A_Game_of_Thrones-Chapter_10
11	A Game of Thrones	Daenerys II	/index.php/A_Game_of_Thrones-Chapter_11
12	A Game of Thrones	Eddard II	/index.php/A_Game_of_Thrones-Chapter_12
13	A Game of Thrones	Tyrion II	/index.php/A_Game_of_Thrones-Chapter_13
14	A Game of Thrones	Catelyn III	/index.php/A_Game_of_Thrones-Chapter_14
15	A Game of Thrones	Sansa I	/index.php/A_Game_of_Thrones-Chapter_15
16	A Game of Thrones	Eddard III	/index.php/A_Game_of_Thrones-Chapter_16
17	A Game of Thrones	Bran III	/index.php/A_Game_of_Thrones-Chapter_17
18	A Game of Thrones	Catelyn IV	/index.php/A_Game_of_Thrones-Chapter_18
19	A Game of Thrones	Jon III	/index.php/A_Game_of_Thrones-Chapter_19
20	A Game of Thrones	Eddard IV	/index.php/A_Game_of_Thrones-Chapter_20
21	A Game of Thrones	Tyrion III	/index.php/A_Game_of_Thrones-Chapter_21
22	A Game of Thrones	Arya II	/index.php/A_Game_of_Thrones-Chapter_22
23	A Game of Thrones	Daenerys III	/index.php/A_Game_of_Thrones-Chapter_23
24	A Game of Thrones	Bran IV	/index.php/A_Game_of_Thrones-Chapter_24
25	A Game of Thrones	Eddard V	/index.php/A_Game_of_Thrones-Chapter_25
26	A Game of Thrones	Jon IV	/index.php/A_Game_of_Thrones-Chapter_26
27	A Game of Thrones	Eddard VI	/index.php/A_Game_of_Thrones-Chapter_27
28	A Game of Thrones	Catelyn V	/index.php/A_Game_of_Thrones-Chapter_28
29	A Game of Thrones	Sansa II	/index.php/A_Game_of_Thrones-Chapter_29
30	A Game of Thrones	Eddard VII	/index.php/A_Game_of_Thrones-Chapter_30
31	A Game of Thrones	Tyrion IV	/index.php/A_Game_of_Thrones-Chapter_31
32	A Game of Thrones	Arya III	/index.php/A_Game_of_Thrones-Chapter_32
33	A Game of Thrones	Eddard VIII	/index.php/A_Game_of_Thrones-Chapter_33
34	A Game of Thrones	Catelyn VI	/index.php/A_Game_of_Thrones-Chapter_34
35	A Game of Thrones	Eddard IX	/index.php/A_Game_of_Thrones-Chapter_35
36	A Game of Thrones	Daenerys IV	/index.php/A_Game_of_Thrones-Chapter_36
37	A Game of Thrones	Bran V	/index.php/A_Game_of_Thrones-Chapter_37
38	A Game of Thrones	Tyrion V	/index.php/A_Game_of_Thrones-Chapter_38
39	A Game of Thrones	Eddard X	/index.php/A_Game_of_Thrones-Chapter_39
40	A Game of Thrones	Catelyn VII	/index.php/A_Game_of_Thrones-Chapter_40
41	A Game of Thrones	Jon V	/index.php/A_Game_of_Thrones-Chapter_41
42	A Game of Thrones	Tyrion VI	/index.php/A_Game_of_Thrones-Chapter_42
43	A Game of Thrones	Eddard XI	/index.php/A_Game_of_Thrones-Chapter_43
44	A Game of Thrones	Sansa III	/index.php/A_Game_of_Thrones-Chapter_44
45	A Game of Thrones	Eddard XII	/index.php/A_Game_of_Thrones-Chapter_45
46	A Game of Thrones	Daenerys V	/index.php/A_Game_of_Thrones-Chapter_46
47	A Game of Thrones	Eddard XIII	/index.php/A_Game_of_Thrones-Chapter_47
48	A Game of Thrones	Jon VI	/index.php/A_Game_of_Thrones-Chapter_48
49	A Game of Thrones	Eddard XIV	/index.php/A_Game_of_Thrones-Chapter_49
50	A Game of Thrones	Arya IV	/index.php/A_Game_of_Thrones-Chapter_50
51	A Game of Thrones	Sansa IV	/index.php/A_Game_of_Thrones-Chapter_51
52	A Game of Thrones	Jon VII	/index.php/A_Game_of_Thrones-Chapter_52
53	A Game of Thrones	Bran VI	/index.php/A_Game_of_Thrones-Chapter_53
54	A Game of Thrones	Daenerys VI	/index.php/A_Game_of_Thrones-Chapter_54
55	A Game of Thrones	Catelyn VIII	/index.php/A_Game_of_Thrones-Chapter_55
56	A Game of Thrones	Tyrion VII	/index.php/A_Game_of_Thrones-Chapter_56
57	A Game of Thrones	Sansa V	/index.php/A_Game_of_Thrones-Chapter_57
58	A Game of Thrones	Eddard XV	/index.php/A_Game_of_Thrones-Chapter_58
59	A Game of Thrones	Catelyn IX	/index.php/A_Game_of_Thrones-Chapter_59
60	A Game of Thrones	Jon VIII	/index.php/A_Game_of_Thrones-Chapter_60
61	A Game of Thrones	Daenerys VII	/index.php/A_Game_of_Thrones-Chapter_61
62	A Game of Thrones	Tyrion VIII	/index.php/A_Game_of_Thrones-Chapter_62
63	A Game of Thrones	Catelyn X	/index.php/A_Game_of_Thrones-Chapter_63
64	A Game of Thrones	Daenerys VIII	/index.php/A_Game_of_Thrones-Chapter_64
65	A Game of Thrones	Arya V	/index.php/A_Game_of_Thrones-Chapter_65
66	A Game of Thrones	Bran VII	/index.php/A_Game_of_Thrones-Chapter_66
67	A Game of Thrones	Sansa VI	/index.php/A_Game_of_Thrones-Chapter_67
68	A Game of Thrones	Daenerys IX	/index.php/A_Game_of_Thrones-Chapter_68
69	A Game of Thrones	Tyrion IX	/index.php/A_Game_of_Thrones-Chapter_69
70	A Game of Thrones	Jon IX	/index.php/A_Game_of_Thrones-Chapter_70
71	A Game of Thrones	Catelyn XI	/index.php/A_Game_of_Thrones-Chapter_71
72	A Game of Thrones	Daenerys X	/index.php/A_Game_of_Thrones-Chapter_72
73	A Game of Thrones	Appendix	/index.php/A_Game_of_Thrones-Appendix
74	A Storm of Swords	Prologue	/index.php/A_Clash_of_Kings-Prologue
75	A Storm of Swords	Arya I	/index.php/A_Clash_of_Kings-Chapter_1
76	A Storm of Swords	Sansa I	/index.php/A_Clash_of_Kings-Chapter_2
77	A Storm of Swords	Tyrion I	/index.php/A_Clash_of_Kings-Chapter_3
78	A Storm of Swords	Bran I	/index.php/A_Clash_of_Kings-Chapter_4
79	A Storm of Swords	Arya II	/index.php/A_Clash_of_Kings-Chapter_5
80	A Storm of Swords	Jon I	/index.php/A_Clash_of_Kings-Chapter_6
81	A Storm of Swords	Catelyn I	/index.php/A_Clash_of_Kings-Chapter_7
82	A Storm of Swords	Tyrion II	/index.php/A_Clash_of_Kings-Chapter_8
83	A Storm of Swords	Arya III	/index.php/A_Clash_of_Kings-Chapter_9
84	A Storm of Swords	Davos I	/index.php/A_Clash_of_Kings-Chapter_10
85	A Storm of Swords	Theon I	/index.php/A_Clash_of_Kings-Chapter_11
86	A Storm of Swords	Daenerys I	/index.php/A_Clash_of_Kings-Chapter_12
87	A Storm of Swords	Jon II	/index.php/A_Clash_of_Kings-Chapter_13
88	A Storm of Swords	Arya IV	/index.php/A_Clash_of_Kings-Chapter_14
89	A Storm of Swords	Tyrion III	/index.php/A_Clash_of_Kings-Chapter_15
90	A Storm of Swords	Bran II	/index.php/A_Clash_of_Kings-Chapter_16
91	A Storm of Swords	Tyrion IV	/index.php/A_Clash_of_Kings-Chapter_17
92	A Storm of Swords	Sansa II	/index.php/A_Clash_of_Kings-Chapter_18
93	A Storm of Swords	Arya V	/index.php/A_Clash_of_Kings-Chapter_19
94	A Storm of Swords	Tyrion V	/index.php/A_Clash_of_Kings-Chapter_20
95	A Storm of Swords	Bran III	/index.php/A_Clash_of_Kings-Chapter_21
96	A Storm of Swords	Catelyn II	/index.php/A_Clash_of_Kings-Chapter_22
97	A Storm of Swords	Jon III	/index.php/A_Clash_of_Kings-Chapter_23
98	A Storm of Swords	Theon II	/index.php/A_Clash_of_Kings-Chapter_24
99	A Storm of Swords	Tyrion VI	/index.php/A_Clash_of_Kings-Chapter_25
100	A Storm of Swords	Arya VI	/index.php/A_Clash_of_Kings-Chapter_26
101	A Storm of Swords	Daenerys II	/index.php/A_Clash_of_Kings-Chapter_27
102	A Storm of Swords	Bran IV	/index.php/A_Clash_of_Kings-Chapter_28
103	A Storm of Swords	Tyrion VII	/index.php/A_Clash_of_Kings-Chapter_29
104	A Storm of Swords	Arya VII	/index.php/A_Clash_of_Kings-Chapter_30
105	A Storm of Swords	Catelyn III	/index.php/A_Clash_of_Kings-Chapter_31
106	A Storm of Swords	Sansa III	/index.php/A_Clash_of_Kings-Chapter_32
107	A Storm of Swords	Catelyn IV	/index.php/A_Clash_of_Kings-Chapter_33
108	A Storm of Swords	Jon IV	/index.php/A_Clash_of_Kings-Chapter_34
109	A Storm of Swords	Bran V	/index.php/A_Clash_of_Kings-Chapter_35
110	A Storm of Swords	Tyrion VIII	/index.php/A_Clash_of_Kings-Chapter_36
111	A Storm of Swords	Theon III	/index.php/A_Clash_of_Kings-Chapter_37
112	A Storm of Swords	Arya VIII	/index.php/A_Clash_of_Kings-Chapter_38
113	A Storm of Swords	Catelyn V	/index.php/A_Clash_of_Kings-Chapter_39
114	A Storm of Swords	Daenerys III	/index.php/A_Clash_of_Kings-Chapter_40
115	A Storm of Swords	Tyrion IX	/index.php/A_Clash_of_Kings-Chapter_41
116	A Storm of Swords	Davos II	/index.php/A_Clash_of_Kings-Chapter_42
117	A Storm of Swords	Jon V	/index.php/A_Clash_of_Kings-Chapter_43
118	A Storm of Swords	Tyrion X	/index.php/A_Clash_of_Kings-Chapter_44
119	A Storm of Swords	Catelyn VI	/index.php/A_Clash_of_Kings-Chapter_45
120	A Storm of Swords	Bran VI	/index.php/A_Clash_of_Kings-Chapter_46
121	A Storm of Swords	Arya IX	/index.php/A_Clash_of_Kings-Chapter_47
122	A Storm of Swords	Daenerys IV	/index.php/A_Clash_of_Kings-Chapter_48
123	A Storm of Swords	Tyrion XI	/index.php/A_Clash_of_Kings-Chapter_49
124	A Storm of Swords	Theon IV	/index.php/A_Clash_of_Kings-Chapter_50
125	A Storm of Swords	Jon VI	/index.php/A_Clash_of_Kings-Chapter_51
126	A Storm of Swords	Sansa IV	/index.php/A_Clash_of_Kings-Chapter_52
127	A Storm of Swords	Jon VII	/index.php/A_Clash_of_Kings-Chapter_53
128	A Storm of Swords	Tyrion XII	/index.php/A_Clash_of_Kings-Chapter_54
129	A Storm of Swords	Catelyn VII	/index.php/A_Clash_of_Kings-Chapter_55
130	A Storm of Swords	Theon V	/index.php/A_Clash_of_Kings-Chapter_56
131	A Storm of Swords	Sansa V	/index.php/A_Clash_of_Kings-Chapter_57
132	A Storm of Swords	Davos III	/index.php/A_Clash_of_Kings-Chapter_58
133	A Storm of Swords	Tyrion XIII	/index.php/A_Clash_of_Kings-Chapter_59
134	A Storm of Swords	Sansa VI	/index.php/A_Clash_of_Kings-Chapter_60
135	A Storm of Swords	Tyrion XIV	/index.php/A_Clash_of_Kings-Chapter_61
136	A Storm of Swords	Sansa VII	/index.php/A_Clash_of_Kings-Chapter_62
137	A Storm of Swords	Daenerys V	/index.php/A_Clash_of_Kings-Chapter_63
138	A Storm of Swords	Arya X	/index.php/A_Clash_of_Kings-Chapter_64
139	A Storm of Swords	Sansa VIII	/index.php/A_Clash_of_Kings-Chapter_65
140	A Storm of Swords	Theon VI	/index.php/A_Clash_of_Kings-Chapter_66
141	A Storm of Swords	Tyrion XV	/index.php/A_Clash_of_Kings-Chapter_67
142	A Storm of Swords	Jon VIII	/index.php/A_Clash_of_Kings-Chapter_68
143	A Storm of Swords	Bran VII	/index.php/A_Clash_of_Kings-Chapter_69
144	A Storm of Swords	Appendix	/index.php/A_Clash_of_Kings-Appendix
145	A Clash of Kings	Prologue	/index.php/A_Storm_of_Swords-Prologue
146	A Clash of Kings	Jaime I	/index.php/A_Storm_of_Swords-Chapter_1
147	A Clash of Kings	Catelyn I	/index.php/A_Storm_of_Swords-Chapter_2
148	A Clash of Kings	Arya I	/index.php/A_Storm_of_Swords-Chapter_3
149	A Clash of Kings	Tyrion I	/index.php/A_Storm_of_Swords-Chapter_4
150	A Clash of Kings	Davos I	/index.php/A_Storm_of_Swords-Chapter_5
151	A Clash of Kings	Sansa I	/index.php/A_Storm_of_Swords-Chapter_6
152	A Clash of Kings	Jon I	/index.php/A_Storm_of_Swords-Chapter_7
153	A Clash of Kings	Daenerys I	/index.php/A_Storm_of_Swords-Chapter_8
154	A Clash of Kings	Bran I	/index.php/A_Storm_of_Swords-Chapter_9
155	A Clash of Kings	Davos II	/index.php/A_Storm_of_Swords-Chapter_10
156	A Clash of Kings	Jaime II	/index.php/A_Storm_of_Swords-Chapter_11
157	A Clash of Kings	Tyrion II	/index.php/A_Storm_of_Swords-Chapter_12
158	A Clash of Kings	Arya II	/index.php/A_Storm_of_Swords-Chapter_13
159	A Clash of Kings	Catelyn II	/index.php/A_Storm_of_Swords-Chapter_14
160	A Clash of Kings	Jon II	/index.php/A_Storm_of_Swords-Chapter_15
161	A Clash of Kings	Sansa II	/index.php/A_Storm_of_Swords-Chapter_16
162	A Clash of Kings	Arya III	/index.php/A_Storm_of_Swords-Chapter_17
163	A Clash of Kings	Samwell I	/index.php/A_Storm_of_Swords-Chapter_18
164	A Clash of Kings	Tyrion III	/index.php/A_Storm_of_Swords-Chapter_19
165	A Clash of Kings	Catelyn III	/index.php/A_Storm_of_Swords-Chapter_20
166	A Clash of Kings	Jaime III	/index.php/A_Storm_of_Swords-Chapter_21
167	A Clash of Kings	Arya IV	/index.php/A_Storm_of_Swords-Chapter_22
168	A Clash of Kings	Daenerys II	/index.php/A_Storm_of_Swords-Chapter_23
169	A Clash of Kings	Bran II	/index.php/A_Storm_of_Swords-Chapter_24
170	A Clash of Kings	Davos III	/index.php/A_Storm_of_Swords-Chapter_25
171	A Clash of Kings	Jon III	/index.php/A_Storm_of_Swords-Chapter_26
172	A Clash of Kings	Daenerys III	/index.php/A_Storm_of_Swords-Chapter_27
173	A Clash of Kings	Sansa III	/index.php/A_Storm_of_Swords-Chapter_28
174	A Clash of Kings	Arya V	/index.php/A_Storm_of_Swords-Chapter_29
175	A Clash of Kings	Jon IV	/index.php/A_Storm_of_Swords-Chapter_30
176	A Clash of Kings	Jaime IV	/index.php/A_Storm_of_Swords-Chapter_31
177	A Clash of Kings	Tyrion IV	/index.php/A_Storm_of_Swords-Chapter_32
178	A Clash of Kings	Samwell II	/index.php/A_Storm_of_Swords-Chapter_33
179	A Clash of Kings	Arya VI	/index.php/A_Storm_of_Swords-Chapter_34
180	A Clash of Kings	Catelyn IV	/index.php/A_Storm_of_Swords-Chapter_35
181	A Clash of Kings	Davos IV	/index.php/A_Storm_of_Swords-Chapter_36
182	A Clash of Kings	Jaime V	/index.php/A_Storm_of_Swords-Chapter_37
183	A Clash of Kings	Tyrion V	/index.php/A_Storm_of_Swords-Chapter_38
184	A Clash of Kings	Arya VII	/index.php/A_Storm_of_Swords-Chapter_39
185	A Clash of Kings	Bran III	/index.php/A_Storm_of_Swords-Chapter_40
186	A Clash of Kings	Jon V	/index.php/A_Storm_of_Swords-Chapter_41
187	A Clash of Kings	Daenerys IV	/index.php/A_Storm_of_Swords-Chapter_42
188	A Clash of Kings	Arya VIII	/index.php/A_Storm_of_Swords-Chapter_43
189	A Clash of Kings	Jaime VI	/index.php/A_Storm_of_Swords-Chapter_44
190	A Clash of Kings	Catelyn V	/index.php/A_Storm_of_Swords-Chapter_45
191	A Clash of Kings	Samwell III	/index.php/A_Storm_of_Swords-Chapter_46
192	A Clash of Kings	Arya IX	/index.php/A_Storm_of_Swords-Chapter_47
193	A Clash of Kings	Jon VI	/index.php/A_Storm_of_Swords-Chapter_48
