<<<<<<<<<<<<<<<URL	Name	id	First mention	Mentions	Last mention
/index.php/Maynard_Plumm	Maynard Plumm	1103	-1	0	0
/index.php/Nage	Nage	1200	-1	0	0
/index.php/Melwyn_Sarsfield	Melwyn Sarsfield	1126	-1	0	0
/index.php/Nysterica	Nysterica	1222	-1	0	0
/index.php/Cossomo	Cossomo	330	-1	0	0
/index.php/Damon_Vypren	Damon Vypren	374	-1	0	0
/index.php/Margaery_Tyrell	Margaery Tyrell	1066	27	26	347
/index.php/Jon_Vance	Jon Vance	854	-1	0	0
/index.php/Bryan_Frey	Bryan Frey	259	-1	0	0
/index.php/Luceon_Frey	Luceon Frey	999	-1	0	0
/index.php/Dunaver	Dunaver	441	-1	0	0
/index.php/Jarl	Jarl	794	160	3	175
/index.php/Temmo	Temmo	1634	-1	0	0
/index.php/Red_Walder_Frey	Red Walder Frey	1390	-1	0	0
/index.php/Illyrio_Mopatis	Illyrio Mopatis	771	3	14	327
/index.php/Terrence_Toyne	Terrence Toyne	1638	241	1	241
/index.php/Malliard	Malliard	1053	-1	0	0
/index.php/Gilbert_Farring	Gilbert Farring	601	-1	0	0
/index.php/Arlan_of_Pennytree	Arlan of Pennytree	115	-1	0	0
/index.php/Daenerys_Targaryen	Daenerys Targaryen	352	3	52	347
/index.php/Harry_Strickland	Harry Strickland	706	299	1	299
/index.php/Rhialta_Vance	Rhialta Vance	1413	-1	0	0
/index.php/Jorah_Stark	Jorah Stark	863	-1	0	0
/index.php/Symeon_Star-Eyes	Symeon Star-Eyes	1614	131	1	131
/index.php/Osbert_Serry	Osbert Serry	1253	-1	0	0
/index.php/Galladon	Galladon	551	-1	0	0
/index.php/Rickard_Karstark	Rickard Karstark	1420	81	5	190
/index.php/Alester_Norcross	Alester Norcross	49	-1	0	0
/index.php/Meliana	Meliana	1120	-1	0	0
/index.php/Quellon_Humble	Quellon Humble	1342	246	1	246
/index.php/Tickler	Tickler	1656	100	2	219
/index.php/Dale_Drumm	Dale Drumm	367	-1	0	0
/index.php/Emmett	Emmett	499	303	1	303
/index.php/Norbert_Vance	Norbert Vance	1211	-1	0	0
/index.php/Samwell_Tarly	Samwell Tarly	1527	26	26	282
/index.php/Jon_Arryn	Jon Arryn	836	2	33	269
/index.php/Richard_Horpe	Richard Horpe	1418	282	2	337
/index.php/Gretchel	Gretchel	631	238	1	238
/index.php/Dudley	Dudley	440	-1	0	0
/index.php/Androw_Frey	Androw Frey	102	-1	0	0
/index.php/Albar_Royce	Albar Royce	39	238	1	238
/index.php/Jorquen	Jorquen	867	-1	0	0
/index.php/Robert_Arryn	Robert Arryn	1432	4	14	269
/index.php/Edrick_Stark	Edrick Stark	466	-1	0	0
/index.php/Aegor_Rivers	Aegor Rivers	14	241	2	309
/index.php/Damon_Lannister	Damon Lannister	371	-1	0	0
/index.php/Will_(Standfast)	Will (Standfast)	1830	-1	0	0
/index.php/Barristan_Selmy	Barristan Selmy	163	8	33	345
/index.php/Wendell_Webber	Wendell Webber	1817	-1	0	0
/index.php/Alyn_Frey	Alyn Frey	69	-1	0	0
/index.php/Tygett_Lannister	Tygett Lannister	1713	115	2	261
/index.php/Jeyne_Rivers	Jeyne Rivers	819	-1	0	0
/index.php/Tyana_Wylde	Tyana Wylde	1707	-1	0	0
/index.php/Martyn_Rivers	Martyn Rivers	1086	29	2	113
/index.php/Ben_(Big_Belly)	Ben (Big Belly)	185	-1	0	0
/index.php/Arryk	Arryk	125	8	1	8
/index.php/Patrek_Mallister	Patrek Mallister	1291	29	1	29
/index.php/Urreg	Urreg	1741	-1	0	0
/index.php/Sallei_Paege	Sallei Paege	1521	-1	0	0
/index.php/Jon_Hollard	Jon Hollard	844	-1	0	0
/index.php/Jeyne_Westerling	Jeyne Westerling	822	159	8	272
/index.php/Aegon_III_Targaryen	Aegon III Targaryen	10	23	1	23
/index.php/Rhaena_Targaryen	Rhaena Targaryen	1409	-1	0	0
/index.php/Cassana_Estermont	Cassana Estermont	283	-1	0	0
/index.php/Maester_Cressen	Maester Cressen	1046	74	4	228
/index.php/Daeron_Vaith	Daeron Vaith	357	-1	0	0
/index.php/Sylva_Santagar	Sylva Santagar	1612	249	3	268
/index.php/Euron_Greyjoy	Euron Greyjoy	521	190	9	331
/index.php/Ronnel_Stout	Ronnel Stout	1482	-1	0	0
/index.php/Theon_Stark	Theon Stark	1649	-1	0	0
/index.php/Kemmett_Pyke	Kemmett Pyke	896	239	1	239
/index.php/Mariya_Darry	Mariya Darry	1072	-1	0	0
/index.php/Benedict	Benedict	190	228	1	228
/index.php/Theobald	Theobald	1642	-1	0	0
/index.php/Lysa_Meadows	Lysa Meadows	1032	-1	0	0
/index.php/Lysa_Tully	Lysa Tully	1033	12	2	261
/index.php/Shortear	Shortear	1564	-1	0	0
/index.php/Jodge	Jodge	830	-1	0	0
/index.php/Lyra_Mormont	Lyra Mormont	1031	-1	0	0
/index.php/Roslin_Frey	Roslin Frey	1493	180	5	266
/index.php/Hake	Hake	669	-1	0	0
/index.php/Clement	Clement	307	-1	0	0
/index.php/Cley_Cerwyn	Cley Cerwyn	313	90	1	90
/index.php/Howland_Reed	Howland Reed	753	4	4	190
/index.php/Symond_Botley	Symond Botley	1618	-1	0	0
/index.php/Tion_Frey	Tion Frey	1664	165	1	165
/index.php/Humfrey_Swyft	Humfrey Swyft	764	-1	0	0
/index.php/Lyn_Corbray	Lyn Corbray	1022	238	2	251
/index.php/Elbert_Arryn	Elbert Arryn	476	-1	0	0
/index.php/Lyle_Crakehall	Lyle Crakehall	1017	119	5	266
/index.php/Togg_Joth	Togg Joth	1671	-1	0	0
/index.php/Mylenda_Caron	Mylenda Caron	1188	-1	0	0
/index.php/Stonehand	Stonehand	1601	246	1	246
/index.php/Gilly	Gilly	603	97	11	278
/index.php/Cynthea_Frey	Cynthea Frey	342	-1	0	0
/index.php/Emma	Emma	498	228	1	228
/index.php/Narbert	Narbert	1202	-1	0	0
/index.php/Sleepy_Jack	Sleepy Jack	1577	-1	0	0
/index.php/Leonella_Lefford	Leonella Lefford	948	-1	0	0
/index.php/Torrhen_Karstark	Torrhen Karstark	1684	63	2	159
/index.php/Aenys_Frey	Aenys Frey	22	295	3	321
/index.php/Robert_Baratheon	Robert Baratheon	1434	0	81	347
/index.php/Clydas	Clydas	316	224	2	285
/index.php/Ryles	Ryles	1513	-1	0	0
/index.php/Alia	Alia	52	-1	0	0
/index.php/Cheyk	Cheyk	301	-1	0	0
/index.php/Jammos_Frey	Jammos Frey	787	-1	0	0
