Chapter	Book	Title	characterURL	Character	ID
0	A Game of Thrones	Prologue	/index.php/Will	Will	1825
0	A Game of Thrones	Prologue	/index.php/Gared	Gared	557
0	A Game of Thrones	Prologue	/index.php/Waymar_Royce	Waymar Royce	1808
0	A Game of Thrones	Prologue	/index.php/Maester_Aemon	Maester Aemon	1045
0	A Game of Thrones	Prologue	/index.php/Jeor_Mormont	Jeor Mormont	808
0	A Game of Thrones	Prologue	/index.php/Robert_Baratheon	Robert Baratheon	1434
1	A Game of Thrones	Bran I	/index.php/Bran_Stark	Bran Stark	240
1	A Game of Thrones	Bran I	/index.php/Eddard_Stark	Eddard Stark	456
1	A Game of Thrones	Bran I	/index.php/Robb_Stark	Robb Stark	1431
1	A Game of Thrones	Bran I	/index.php/Gared	Gared	557
1	A Game of Thrones	Bran I	/index.php/Theon_Greyjoy	Theon Greyjoy	1648
1	A Game of Thrones	Bran I	/index.php/Jon_Snow	Jon Snow	851
1	A Game of Thrones	Bran I	/index.php/Desmond	Desmond	403
1	A Game of Thrones	Bran I	/index.php/Harwin	Harwin	708
1	A Game of Thrones	Bran I	/index.php/Hullen	Hullen	760
1	A Game of Thrones	Bran I	/index.php/Jory_Cassel	Jory Cassel	868
1	A Game of Thrones	Bran I	/index.php/Nan	Nan	1201
1	A Game of Thrones	Bran I	/index.php/Mance_Rayder	Mance Rayder	1057
1	A Game of Thrones	Bran I	/index.php/Rickon_Stark	Rickon Stark	1426
1	A Game of Thrones	Bran I	/index.php/Robert_Baratheon	Robert Baratheon	1434
1	A Game of Thrones	Bran I	/index.php/Rodrik_Cassel	Rodrik Cassel	1451
2	A Game of Thrones	Catelyn I	/index.php/Catelyn_Tully	Catelyn Tully	287
2	A Game of Thrones	Catelyn I	/index.php/Eddard_Stark	Eddard Stark	456
2	A Game of Thrones	Catelyn I	/index.php/Mance_Rayder	Mance Rayder	1057
2	A Game of Thrones	Catelyn I	/index.php/Jon_Arryn	Jon Arryn	836
2	A Game of Thrones	Catelyn I	/index.php/Robert_Baratheon	Robert Baratheon	1434
2	A Game of Thrones	Catelyn I	/index.php/Benjen_Stark	Benjen Stark	194
2	A Game of Thrones	Catelyn I	/index.php/Cersei_Lannister	Cersei Lannister	295
2	A Game of Thrones	Catelyn I	/index.php/Arya_Stark	Arya Stark	136
2	A Game of Thrones	Catelyn I	/index.php/Brandon_Stark	Brandon Stark	243
2	A Game of Thrones	Catelyn I	/index.php/Bran_the_Builder	Bran the Builder	241
2	A Game of Thrones	Catelyn I	/index.php/Brynden_Tully	Brynden Tully	265
2	A Game of Thrones	Catelyn I	/index.php/Hoster_Tully	Hoster Tully	746
2	A Game of Thrones	Catelyn I	/index.php/Jory_Cassel	Jory Cassel	868
2	A Game of Thrones	Catelyn I	/index.php/Luwin	Luwin	1013
2	A Game of Thrones	Catelyn I	/index.php/Pycelle	Pycelle	1326
2	A Game of Thrones	Catelyn I	/index.php/Rickon_Stark	Rickon Stark	1426
2	A Game of Thrones	Catelyn I	/index.php/Sansa_Stark	Sansa Stark	1530
2	A Game of Thrones	Catelyn I	/index.php/Tommen_Baratheon	Tommen Baratheon	1676
3	A Game of Thrones	Daenerys I	/index.php/Daenerys_Targaryen	Daenerys Targaryen	352
3	A Game of Thrones	Daenerys I	/index.php/Viserys_Targaryen	Viserys Targaryen	1770
3	A Game of Thrones	Daenerys I	/index.php/Illyrio_Mopatis	Illyrio Mopatis	771
3	A Game of Thrones	Daenerys I	/index.php/Drogo	Drogo	438
3	A Game of Thrones	Daenerys I	/index.php/Rhaegar_Targaryen	Rhaegar Targaryen	1404
3	A Game of Thrones	Daenerys I	/index.php/Robert_Baratheon	Robert Baratheon	1434
3	A Game of Thrones	Daenerys I	/index.php/Jaime_Lannister	Jaime Lannister	785
3	A Game of Thrones	Daenerys I	/index.php/Rhaella_Targaryen	Rhaella Targaryen	1407
3	A Game of Thrones	Daenerys I	/index.php/Willem_Darry	Willem Darry	1841
3	A Game of Thrones	Daenerys I	/index.php/Jorah_Mormont	Jorah Mormont	862
3	A Game of Thrones	Daenerys I	/index.php/Moro	Moro	1163
3	A Game of Thrones	Daenerys I	/index.php/Rhogoro	Rhogoro	1414
3	A Game of Thrones	Daenerys I	/index.php/Elia_Martell	Elia Martell	483
4	A Game of Thrones	Eddard I	/index.php/Eddard_Stark	Eddard Stark	456
4	A Game of Thrones	Eddard I	/index.php/Jaime_Lannister	Jaime Lannister	785
4	A Game of Thrones	Eddard I	/index.php/Tyrion_Lannister	Tyrion Lannister	1716
4	A Game of Thrones	Eddard I	/index.php/Sandor_Clegane	Sandor Clegane	1528
4	A Game of Thrones	Eddard I	/index.php/Robert_Baratheon	Robert Baratheon	1434
4	A Game of Thrones	Eddard I	/index.php/Ned	Ned	1204
4	A Game of Thrones	Eddard I	/index.php/Cersei_Lannister	Cersei Lannister	295
4	A Game of Thrones	Eddard I	/index.php/Lyanna_Stark	Lyanna Stark	1015
4	A Game of Thrones	Eddard I	/index.php/Howland_Reed	Howland Reed	753
4	A Game of Thrones	Eddard I	/index.php/Rhaegar_Targaryen	Rhaegar Targaryen	1404
4	A Game of Thrones	Eddard I	/index.php/Jon_Arryn	Jon Arryn	836
4	A Game of Thrones	Eddard I	/index.php/Tywin_Lannister	Tywin Lannister	1727
4	A Game of Thrones	Eddard I	/index.php/Robert_Arryn	Robert Arryn	1432
4	A Game of Thrones	Eddard I	/index.php/Sansa_Stark	Sansa Stark	1530
4	A Game of Thrones	Eddard I	/index.php/Joffrey_Baratheon	Joffrey Baratheon	831
4	A Game of Thrones	Eddard I	/index.php/Balon_Greyjoy	Balon Greyjoy	154
4	A Game of Thrones	Eddard I	/index.php/Benjen_Stark	Benjen Stark	194
4	A Game of Thrones	Eddard I	/index.php/Brandon_Stark	Brandon Stark	243
4	A Game of Thrones	Eddard I	/index.php/Catelyn_Tully	Catelyn Tully	287
4	A Game of Thrones	Eddard I	/index.php/Rickard_Stark	Rickard Stark	1422
4	A Game of Thrones	Eddard I	/index.php/Theon_Greyjoy	Theon Greyjoy	1648
5	A Game of Thrones	Jon I	/index.php/Jon_Snow	Jon Snow	851
5	A Game of Thrones	Jon I	/index.php/Robert_Baratheon	Robert Baratheon	1434
5	A Game of Thrones	Jon I	/index.php/Myrcella_Baratheon	Myrcella Baratheon	1195
5	A Game of Thrones	Jon I	/index.php/Robb_Stark	Robb Stark	1431
5	A Game of Thrones	Jon I	/index.php/Joffrey_Baratheon	Joffrey Baratheon	831
5	A Game of Thrones	Jon I	/index.php/Jaime_Lannister	Jaime Lannister	785
5	A Game of Thrones	Jon I	/index.php/Tyrion_Lannister	Tyrion Lannister	1716
5	A Game of Thrones	Jon I	/index.php/Benjen_Stark	Benjen Stark	194
5	A Game of Thrones	Jon I	/index.php/Eddard_Stark	Eddard Stark	456
5	A Game of Thrones	Jon I	/index.php/Arya_Stark	Arya Stark	136
5	A Game of Thrones	Jon I	/index.php/Catelyn_Tully	Catelyn Tully	287
5	A Game of Thrones	Jon I	/index.php/Cersei_Lannister	Cersei Lannister	295
5	A Game of Thrones	Jon I	/index.php/Rickon_Stark	Rickon Stark	1426
5	A Game of Thrones	Jon I	/index.php/Sansa_Stark	Sansa Stark	1530
5	A Game of Thrones	Jon I	/index.php/Theon_Greyjoy	Theon Greyjoy	1648
5	A Game of Thrones	Jon I	/index.php/Tommen_Baratheon	Tommen Baratheon	1676
5	A Game of Thrones	Jon I	/index.php/Daeron_I_Targaryen	Daeron I Targaryen	354
5	A Game of Thrones	Jon I	/index.php/Hullen	Hullen	760
5	A Game of Thrones	Jon I	/index.php/Luwin	Luwin	1013
5	A Game of Thrones	Jon I	/index.php/Tywin_Lannister	Tywin Lannister	1727
6	A Game of Thrones	Catelyn II	/index.php/Catelyn_Tully	Catelyn Tully	287
6	A Game of Thrones	Catelyn II	/index.php/Eddard_Stark	Eddard Stark	456
6	A Game of Thrones	Catelyn II	/index.php/Robert_Baratheon	Robert Baratheon	1434
6	A Game of Thrones	Catelyn II	/index.php/Brandon_Stark	Brandon Stark	243
6	A Game of Thrones	Catelyn II	/index.php/Desmond	Desmond	403
6	A Game of Thrones	Catelyn II	/index.php/Luwin	Luwin	1013
6	A Game of Thrones	Catelyn II	/index.php/Jon_Arryn	Jon Arryn	836
6	A Game of Thrones	Catelyn II	/index.php/Robb_Stark	Robb Stark	1431
6	A Game of Thrones	Catelyn II	/index.php/Rickon_Stark	Rickon Stark	1426
6	A Game of Thrones	Catelyn II	/index.php/Sansa_Stark	Sansa Stark	1530
6	A Game of Thrones	Catelyn II	/index.php/Joffrey_Baratheon	Joffrey Baratheon	831
6	A Game of Thrones	Catelyn II	/index.php/Arya_Stark	Arya Stark	136
6	A Game of Thrones	Catelyn II	/index.php/Bran_Stark	Bran Stark	240
6	A Game of Thrones	Catelyn II	/index.php/Jon_Snow	Jon Snow	851
6	A Game of Thrones	Catelyn II	/index.php/Ashara_Dayne	Ashara Dayne	139
6	A Game of Thrones	Catelyn II	/index.php/Benjen_Stark	Benjen Stark	194
6	A Game of Thrones	Catelyn II	/index.php/Aerys_II_Targaryen	Aerys II Targaryen	27
6	A Game of Thrones	Catelyn II	/index.php/Arthur_Dayne	Arthur Dayne	130
6	A Game of Thrones	Catelyn II	/index.php/Edmure_Tully	Edmure Tully	462
6	A Game of Thrones	Catelyn II	/index.php/Rodrik_Cassel	Rodrik Cassel	1451
7	A Game of Thrones	Arya I	/index.php/Arya_Stark	Arya Stark	136
7	A Game of Thrones	Arya I	/index.php/Sansa_Stark	Sansa Stark	1530
7	A Game of Thrones	Arya I	/index.php/Mordane	Mordane	1157
7	A Game of Thrones	Arya I	/index.php/Myrcella_Baratheon	Myrcella Baratheon	1195
7	A Game of Thrones	Arya I	/index.php/Joffrey_Baratheon	Joffrey Baratheon	831
7	A Game of Thrones	Arya I	/index.php/Jon_Snow	Jon Snow	851
7	A Game of Thrones	Arya I	/index.php/Robb_Stark	Robb Stark	1431
7	A Game of Thrones	Arya I	/index.php/Bran_Stark	Bran Stark	240
7	A Game of Thrones	Arya I	/index.php/Rodrik_Cassel	Rodrik Cassel	1451
7	A Game of Thrones	Arya I	/index.php/Sandor_Clegane	Sandor Clegane	1528
7	A Game of Thrones	Arya I	/index.php/Theon_Greyjoy	Theon Greyjoy	1648
7	A Game of Thrones	Arya I	/index.php/Beth_Cassel	Beth Cassel	213
7	A Game of Thrones	Arya I	/index.php/Catelyn_Tully	Catelyn Tully	287
7	A Game of Thrones	Arya I	/index.php/Donnis	Donnis	427
7	A Game of Thrones	Arya I	/index.php/Jeyne_Poole	Jeyne Poole	818
7	A Game of Thrones	Arya I	/index.php/Lew	Lew	953
7	A Game of Thrones	Arya I	/index.php/Tommen_Baratheon	Tommen Baratheon	1676
7	A Game of Thrones	Arya I	/index.php/Nymeria	Nymeria	1219
7	A Game of Thrones	Arya I	/index.php/Rickon_Stark	Rickon Stark	1426
8	A Game of Thrones	Bran II	/index.php/Bran_Stark	Bran Stark	240
8	A Game of Thrones	Bran II	/index.php/Jon_Snow	Jon Snow	851
8	A Game of Thrones	Bran II	/index.php/Rickon_Stark	Rickon Stark	1426
8	A Game of Thrones	Bran II	/index.php/Barristan_Selmy	Barristan Selmy	163
8	A Game of Thrones	Bran II	/index.php/Cersei_Lannister	Cersei Lannister	295
8	A Game of Thrones	Bran II	/index.php/Jaime_Lannister	Jaime Lannister	785
8	A Game of Thrones	Bran II	/index.php/Eddard_Stark	Eddard Stark	456
8	A Game of Thrones	Bran II	/index.php/Robert_Baratheon	Robert Baratheon	1434
8	A Game of Thrones	Bran II	/index.php/Aemon_Targaryen	Aemon Targaryen	20
8	A Game of Thrones	Bran II	/index.php/Arryk	Arryk	125
8	A Game of Thrones	Bran II	/index.php/Arthur_Dayne	Arthur Dayne	130
8	A Game of Thrones	Bran II	/index.php/Arya_Stark	Arya Stark	136
8	A Game of Thrones	Bran II	/index.php/Benjen_Stark	Benjen Stark	194
8	A Game of Thrones	Bran II	/index.php/Boros_Blount	Boros Blount	234
8	A Game of Thrones	Bran II	/index.php/Erryk	Erryk	517
8	A Game of Thrones	Bran II	/index.php/Gage	Gage	548
8	A Game of Thrones	Bran II	/index.php/Gerold_Hightower	Gerold Hightower	594
8	A Game of Thrones	Bran II	/index.php/Hodor	Hodor	736
8	A Game of Thrones	Bran II	/index.php/Joffrey_Baratheon	Joffrey Baratheon	831
8	A Game of Thrones	Bran II	/index.php/Jon_Arryn	Jon Arryn	836
8	A Game of Thrones	Bran II	/index.php/Jory_Cassel	Jory Cassel	868
8	A Game of Thrones	Bran II	/index.php/Petyr_Baelish	Petyr Baelish	1303
8	A Game of Thrones	Bran II	/index.php/Luwin	Luwin	1013
8	A Game of Thrones	Bran II	/index.php/Lyanna_Stark	Lyanna Stark	1015
8	A Game of Thrones	Bran II	/index.php/Meryn_Trant	Meryn Trant	1140
8	A Game of Thrones	Bran II	/index.php/Mikken	Mikken	1142
8	A Game of Thrones	Bran II	/index.php/Nan	Nan	1201
8	A Game of Thrones	Bran II	/index.php/Renly_Baratheon	Renly Baratheon	1396
8	A Game of Thrones	Bran II	/index.php/Robb_Stark	Robb Stark	1431
8	A Game of Thrones	Bran II	/index.php/Rodrik_Cassel	Rodrik Cassel	1451
8	A Game of Thrones	Bran II	/index.php/Ryam_Redwyne	Ryam Redwyne	1506
8	A Game of Thrones	Bran II	/index.php/Sansa_Stark	Sansa Stark	1530
8	A Game of Thrones	Bran II	/index.php/Serwyn	Serwyn	1550
8	A Game of Thrones	Bran II	/index.php/Stannis_Baratheon	Stannis Baratheon	1586
8	A Game of Thrones	Bran II	/index.php/Theon_Greyjoy	Theon Greyjoy	1648
9	A Game of Thrones	Tyrion I	/index.php/Tyrion_Lannister	Tyrion Lannister	1716
9	A Game of Thrones	Tyrion I	/index.php/Chayle	Chayle	298
9	A Game of Thrones	Tyrion I	/index.php/Sandor_Clegane	Sandor Clegane	1528
9	A Game of Thrones	Tyrion I	/index.php/Bran_Stark	Bran Stark	240
9	A Game of Thrones	Tyrion I	/index.php/Joffrey_Baratheon	Joffrey Baratheon	831
9	A Game of Thrones	Tyrion I	/index.php/Cersei_Lannister	Cersei Lannister	295
9	A Game of Thrones	Tyrion I	/index.php/Robert_Baratheon	Robert Baratheon	1434
9	A Game of Thrones	Tyrion I	/index.php/Tommen_Baratheon	Tommen Baratheon	1676
9	A Game of Thrones	Tyrion I	/index.php/Jaime_Lannister	Jaime Lannister	785
9	A Game of Thrones	Tyrion I	/index.php/Luwin	Luwin	1013
9	A Game of Thrones	Tyrion I	/index.php/Myrcella_Baratheon	Myrcella Baratheon	1195
9	A Game of Thrones	Tyrion I	/index.php/Aethelmure	Aethelmure	29
9	A Game of Thrones	Tyrion I	/index.php/Ayrmidon	Ayrmidon	144
9	A Game of Thrones	Tyrion I	/index.php/Benjen_Stark	Benjen Stark	194
9	A Game of Thrones	Tyrion I	/index.php/Brandon_Stark	Brandon Stark	243
9	A Game of Thrones	Tyrion I	/index.php/Catelyn_Tully	Catelyn Tully	287
9	A Game of Thrones	Tyrion I	/index.php/Eddard_Stark	Eddard Stark	456
10	A Game of Thrones	Jon II	/index.php/Jon_Snow	Jon Snow	851
10	A Game of Thrones	Jon II	/index.php/Bran_Stark	Bran Stark	240
10	A Game of Thrones	Jon II	/index.php/Catelyn_Tully	Catelyn Tully	287
10	A Game of Thrones	Jon II	/index.php/Robb_Stark	Robb Stark	1431
10	A Game of Thrones	Jon II	/index.php/Benjen_Stark	Benjen Stark	194
10	A Game of Thrones	Jon II	/index.php/Arya_Stark	Arya Stark	136
10	A Game of Thrones	Jon II	/index.php/Nymeria	Nymeria	1219
