name	alt name	url	summary
Abelar Hightower	Abelar Hightower	/reference/k/00281/index.html	A knight and member of House Hightower.
Addam Marbrand	Addam Marbrand	/reference/k/00360/index.html	Son of Lord Damon Marbrand.
Addam Osgrey	Addam Osgrey	/reference/k/02778/index.html	A squire and youngest son of Ser Eustace Osgrey.
Addison Hill	Addison Hill	/reference/k/02326/index.html	A former Lord Commander of the Kingsguard.
Aegon Blackfyre	Aegon Blackfyre	/reference/k/02338/index.html	Eldest son of Daemon Blackfyre and twin to Aemon.
Aegon Bloodborn Frey	Aegon Bloodborn Frey	/reference/k/00156/index.html	Eldest son of Ser Aenys Frey. He is an outlaw.
Aegon Frey	Aegon Frey	/reference/k/00155/index.html	Called Jinglebell.  Middle son of Ser Stevron Frey.
Aegon I Targaryen	Aegon I Targaryen	/reference/k/00541/index.html	Called Aegon the Conqueror and Aegon the Dragon. King of Westeros from 1-37.
Aegon II Targaryen	Aegon II Targaryen	/reference/k/00542/index.html	King of the Seven Kingdoms from 129-131.
Aegon III Targaryen	Aegon III Targaryen	/reference/k/00543/index.html	Called the Dragonbane. King of the Seven Kingdoms from 131-157.
Aegon IV Targaryen	Aegon IV Targaryen	/reference/k/00544/index.html	Called Aegon the Unworthy. King of the Seven Kingdoms from 172 to 184.
Aegon Targaryen	Aegon Targaryen	/reference/k/00540/index.html	Only son of Prince Rhaegar Targaryen and Elia Martell.
Aegon V Targaryen	Aegon V Targaryen	/reference/k/00545/index.html	Called the Aegon the Fortunate. Fourth son of King Maekar I Targaryen and king of the Seven Kingdoms from 233-259.
Aegor Rivers	Aegor Rivers	/reference/k/02277/index.html	Called Bittersteel. Bastard son of Aegon IV Targaryen.
Aelinor Targaryen	Aelinor Targaryen	/reference/k/02848/index.html	Daughter of King Daeron II Targaryen and sister-wife of King Aerys I Targaryen.
Aemon Blackfyre	Aemon Blackfyre	/reference/k/02339/index.html	Second son of Daemon Blackfyre and twin to Aegon.
Aemon Costanye	Aemon Costanye	/reference/k/01212/index.html	A noted singer.
Aemon Estermont	Aemon Estermont	/reference/k/00112/index.html	Only son of Ser Eldon Estermont.
Aemon Rivers	Aemon Rivers	/reference/k/00433/index.html	Only son of Walder Rivers.
Aemon Targaryen	Aemon Targaryen	/reference/k/00546/index.html	Called the Dragonknight. Brother of Aegon IV Targaryen and a knight in his Kingsguard.
Aemon Targaryen	Aemon Targaryen	/reference/k/00547/index.html	Third son of King Maekar I Targaryen, a member of the Night's Watch, and Maester for Castle Black.
Aenar Targaryen	Aenar Targaryen	/reference/k/02244/index.html	A member of House Targaryen that lived in Valyria before the Doom hundreds of years ago.
Aenys Frey	Aenys Frey	/reference/k/00157/index.html	Third son of Lord Walder Frey.
Aenys I Targaryen	Aenys I Targaryen	/reference/k/00548/index.html	King of the Seven Kingdoms and head of House Targaryen from 37-42.
Aerion Targaryen	Aerion Targaryen	/reference/k/00549/index.html	Called Aerion the Monstrous and Aerion Brightflame.  Second son of King Maekar I Targaryen.
Aeron Greyjoy	Aeron Greyjoy	/reference/k/00256/index.html	Called the Damphair.  Youngest brother of Lord Balon Greyjoy.
Aerys I Targaryen	Aerys I Targaryen	/reference/k/00550/index.html	Second son of King Daeron II Targaryen and Myriah Martell and King of the Seven Kingdoms from 209-221.
Aerys II Targaryen	Aerys II Targaryen	/reference/k/00551/index.html	King of the Seven Kingdoms from 262-283.
Aethan	Aethan	/reference/k/00688/index.html	A ranger of the Night's Watch.
Aethelmure	Aethelmure	/reference/k/01213/index.html	Grand Maester of the Seven Kingdoms.
Aggar	Aggar	/reference/k/01214/index.html	An ironman warrior.
Aggo	Aggo	/reference/k/00689/index.html	A Dothraki warrior.
Aglantine	Aglantine	/reference/k/02633/index.html	One of the Most Devout of the Faith.
Agrivane	Agrivane	/reference/k/02709/index.html	An archmaester of the Citadel.
Aladale Wynch	Aladale Wynch	/reference/k/00684/index.html	A knight, ranger of the Night's Watch, and member of House Wynch.
Alan	Alan	/reference/k/00690/index.html	Called Alan of Rosby. A ranger of the Night's Watch.
Alannys Harlaw	Alannys Harlaw	/reference/k/00274/index.html	Wife of Lord Balon Greyjoy.
Alaric	Alaric	/reference/k/00691/index.html	Called Alaric of Eysen. A noted singer.
Alayaya	Alayaya	/reference/k/00692/index.html	Daughter of Chataya and a prostitute at her brothel.
Alayne	Alayne	/reference/k/00916/index.html	Mother of Lord Petyr Baelish.
Albar Royce	Albar Royce	/reference/k/00442/index.html	Eldest son of Lord Nestor Royce.
Albett	Albett	/reference/k/00693/index.html	A trainee of the Night's Watch.
Alchemist	Alchemist	/reference/k/02112/index.html	A strange man in Oldtown. Physical Description: He is young with full cheeks, a shadow of a beard, a hooked nose, and a mat of dense black curls. He has a faint scar on his right cheek.
Alebelly	Alebelly	/reference/k/01215/index.html	A guard at Winterfell.
Alekyne Florent	Alekyne Florent	/reference/k/00126/index.html	Only son of Lord Alester Florent.
Alerie Hightower	Alerie Hightower	/reference/k/00282/index.html	Second daughter of Lord Leyton Hightower and wife of Lord Mace Tyrell.
Alesander Frey	Alesander Frey	/reference/k/00158/index.html	Elder son of Symond Frey.
Alesander Staedmon	Alesander Staedmon	/reference/k/00501/index.html	Called Pennylover. A lord of the Stormlands.
Alesander Torrent	Alesander Torrent	/reference/k/02689/index.html	Lord of Littlesister.
Alester Florent	Alester Florent	/reference/k/00127/index.html	Lord of Brightwater Keep.
Alester Norcross	Alester Norcross	/reference/k/00388/index.html	Elder son of Ser Hosman Norcross.
Alester Oakheart	Alester Oakheart	/reference/k/02273/index.html	
Alfyn	Alfyn	/reference/k/01216/index.html	Called Alfyn Crowkiller. A wildling leader.
Alia	Alia	/reference/k/02855/index.html	Called Alia of Braavos.  A singer.
Alla Tyrell	Alla Tyrell	/reference/k/00595/index.html	Elder daughter of Ser Leo Tyrell.
Allaquo	Allaquo	/reference/k/02580/index.html	A mummer in Braavos.
Allar Deem	Allar Deem	/reference/k/00884/index.html	A member of the city watch of King's Landing.
Allard Seaworth	Allard Seaworth	/reference/k/00473/index.html	Second son of Ser Davos Seaworth and captain of the Lady Marya.
Alleras	Alleras	/reference/k/02088/index.html	Called the Sphinx. An acolyte of the Citadel. Physical Description: He is handsome with a pointed chin, widow's peak, and dense mat of close-cropped jet-black curls.
Alliser Thorne	Alliser Thorne	/reference/k/00584/index.html	A man of the Night's Watch and master-at-arms for Castle Black.
Allyria Dayne	Allyria Dayne	/reference/k/00097/index.html	Aunt of Lord Edric Dayne.
Allyrion, Delonne	Delonne Allyrion	/reference/k/00001/index.html	Lady of Godsgrace and head of House Allyrion.
Allyrion, Ryon	Ryon Allyrion	/reference/k/00002/index.html	Only son of Lady Delonne Allyrion.
Alvyn Sharp	Alvyn Sharp	/reference/k/02362/index.html	A noted ironman ship captain.
Alyce	Alyce	/reference/k/02883/index.html	A prostitute at the Peach in Stoney Sept.
Alyce Graceford	Alyce Graceford	/reference/k/01217/index.html	A member of House Graceford.
Alyn	Alyn	/reference/k/01913/index.html	Called Red Alyn. A steward of the Night's Watch.
Alyn	Alyn	/reference/k/01218/index.html	A guard at Winterfell.
Alyn Ambrose	Alyn Ambrose	/reference/k/01219/index.html	A squire and son of Lord Arthur Ambrose.
Alyn Connington	Alyn Connington	/reference/k/00073/index.html	Called the Pale Griffin. A Lord Commander of the Kingsguard and member of House Connington.
Alyn Estermont	Alyn Estermont	/reference/k/00113/index.html	Only son of Ser Aemon Estermont.
Alyn Frey	Alyn Frey	/reference/k/00159/index.html	Son of Ser Arwood Frey.
Alyn Haigh	Alyn Haigh	/reference/k/00265/index.html	Youngest son of Ser Leslyn Haigh.
Alyn Hunt	Alyn Hunt	/reference/k/02289/index.html	A knight.
Alyn Stackspear	Alyn Stackspear	/reference/k/00498/index.html	Younger son of Lord Selmond Stackspear.
Alyn Velaryon	Alyn Velaryon	/reference/k/02895/index.html	Called Oakenfist.
Alys Arryn	Alys Arryn	/reference/k/01918/index.html	
Alys Beesbury	Alys Beesbury	/reference/k/00022/index.html	Wife of Ser Leo Tyrell.
Alys Frey	Alys Frey	/reference/k/00160/index.html	Wife of Ser Jared Frey.
Alys Karstark	Alys Karstark	/reference/k/01220/index.html	Only Daughter of Lord Rickard Karstark.
Alysane Mormont	Alysane Mormont	/reference/k/02158/index.html	
Alysanne Bulwer	Alysanne Bulwer	/reference/k/00052/index.html	Lady of Blackcrown.
Alysanne Hightower	Alysanne Hightower	/reference/k/01956/index.html	
Alysanne Lefford	Alysanne Lefford	/reference/k/02714/index.html	
Alysanne Osgrey	Alysanne Osgrey	/reference/k/02786/index.html	Only daughter of Ser Eustace Osgrey.
Alysanne Targaryen	Alysanne Targaryen	/reference/k/00552/index.html	Called Alysanne the Good. Sister and wife of Jaehaerys I and Queen of the Seven Kingdoms.
Alysanne Tarth	Alysanne Tarth	/reference/k/02532/index.html	Daughter of Lord Selwyn Tarth.
Alyse Ladybright	Alyse Ladybright	/reference/k/02288/index.html	Lord Treasurer of Dorne.
Alyssa Arryn	Alyssa Arryn	/reference/k/01221/index.html	A semi-legendary figure from the Age of Heroes and the namesake of the waterfall, Alyssa's Tears.
Alyssa Blackwood	Alyssa Blackwood	/reference/k/00031/index.html	Fourth wife of Lord Walder Frey.
