name	alt name	url	summary	type
Acorn Hall	Acorn Hall	/reference/k/01211/index.html	The seat of House Smallwood.	place
Aegon's High Hill	Aegon's High Hill	/reference/k/02003/index.html	Aegon's High Hill lies in the northeast corner of King's Landing and atop it sits the Red Keep. Aegon's High Hill can be seen from anywhere in the city.	place
Alyssa's Tears	Alyssa's Tears	/reference/k/01132/index.html	A waterfall near the Eyrie. It is named for Alyssa Arryn.	place
Arbor, The	The Arbor	/reference/k/01167/index.html	An island off the southwest coast of the Reach.	place
Ashemark	Ashemark	/reference/k/01235/index.html	The seat of House Marbrand.	place
Ashford	Ashford	/reference/k/01236/index.html		place
Asshai	Asshai	/reference/k/01178/index.html	A city far to the east. The people of Asshai are called the Asshai'i.	place
Astapor	Astapor	/reference/k/01237/index.html	A slave-trading city on Slaver's Bay.	place
Atranta	Atranta	/reference/k/02083/index.html	The seat of House Vance.	place
Banefort	Banefort	/reference/k/02041/index.html	The seat of House Banefort.	place
Barrowlands, The	The Barrowlands	/reference/k/01897/index.html	A portion of the North bounded by the Wolfswood, the Rills, the Neck, and the White Knife.	place
Barrowton	Barrowton	/reference/k/02523/index.html	The seat of House Dustin.	place
Basilisk Isles	Basilisk Isles	/reference/k/02434/index.html	A group of islands off the north coast of Sothoros.	place
Bastard's Cradle	Bastard's Cradle	/reference/k/02650/index.html	A small island in the Redwyne Straits near the Arbor.	place
Battle Island	Battle Island	/reference/k/02116/index.html	An island in the Whispering Sound. The Hightower is located there.	place
Bay of Crabs	Bay of Crabs	/reference/k/01978/index.html	The Bay of Crabs is a narrow bay that separates the Vale from the Crownlands.	place
Bay of Ice	Bay of Ice	/reference/k/01889/index.html	A large bay off northwestern Westeros.	place
Bay of Seals	Bay of Seals	/reference/k/01882/index.html	A bay off the northeast coast of Westeros.	place
Bayasabhad	Bayasabhad	/reference/k/01179/index.html	A land somewhere in the east.	place
Bear Island	Bear Island	/reference/k/01119/index.html	An island off the northwest coast of the North. It sits in the Bay of Ice.	place
Big Willow River	Big Willow River	/reference/k/01825/index.html	A river in the Riverlands.	place
Bite, The	The Bite	/reference/k/01192/index.html	The Bite is a bay enclosed by the North to the north, the Neck to the west, and the Vale to the south. White Harbor is a port on the north shores of the Bite.	place
Bitterbridge	Bitterbridge	/reference/k/01251/index.html	The seat of House Caswell.	place
Blackcrown	Blackcrown	/reference/k/02054/index.html	The seat of House Bulwer.	place
Blackhaven	Blackhaven	/reference/k/01252/index.html	The seat of House Dondarrion.	place
Blackmont	Blackmont	/reference/k/01253/index.html	The seat of House Blackmont.	place
Blacktyde	Blacktyde	/reference/k/01255/index.html	One of the Iron Islands.	place
Blackwater Bay	Blackwater Bay	/reference/k/01898/index.html	A bay that cuts through the middle of the Crownlands.	place
Blackwater Rush	Blackwater Rush	/reference/k/01256/index.html	A river that flows through the Riverlands and the Crownlands to enter the sea at King's Landing.	place
Blazewater Bay	Blazewater Bay	/reference/k/01891/index.html	A bay off the southwest coast of the North.	place
Bloody Gate	Bloody Gate	/reference/k/01129/index.html	A small castle that guards the entrance to the Vale of Arryn.	place
Blue Bym	Blue Bym	/reference/k/02906/index.html	A river that is a tributary to the Mander.	place
Blue Fork	Blue Fork	/reference/k/01151/index.html	A branch of the Trident, the largest river in Westeros.	place
Boneway	Boneway	/reference/k/02172/index.html	A road that winds through the eastern Red Mountains connecting Dorne with the rest of Westeros.	place
Braavos	Braavos	/reference/k/01261/index.html	One of the nine Free Cities.	place
Bracken of Stone Hedge	Bracken of Stone Hedge	/reference/k/00931/index.html	A house of the Riverlands.	place
Brandybottom	Brandybottom	/reference/k/02816/index.html	A village in the Reach.	place
Briarwhite	Briarwhite	/reference/k/01268/index.html	A holdfast in the Riverlands.	place
Brightwater Keep	Brightwater Keep	/reference/k/01269/index.html	The seat of House Florent.	place
Brimstone	Brimstone	/reference/k/02910/index.html	A river in Dorne.	place
Brindlewood	Brindlewood	/reference/k/01990/index.html	A village in the Riverlands.	place
Broken Arm, The	The Broken Arm	/reference/k/01175/index.html	The remains of a land bridge that once connected Westeros with the eastern continent.	place
Broken Branch, The	The Broken Branch	/reference/k/02903/index.html	A river in the North.	place
Bronzegate	Bronzegate	/reference/k/02056/index.html	The seat of House Buckler.	place
Brownhollow	Brownhollow	/reference/k/02626/index.html	The seat of a lesser branch of House Brune.	place
Cape Wrath	Cape Wrath	/reference/k/01862/index.html	A stretch of land on the northern coast of the Sea of Dorne.	place
Castamere	Castamere	/reference/k/01279/index.html	A gold mining center in the Westerlands and the former seat of House Reyne.	place
Casterly Rock	Casterly Rock	/reference/k/01157/index.html	The seat of House Lannister.	place
Castle Black	Castle Black	/reference/k/01164/index.html	The main Night's Watch fortress.	place
Castle Cerwyn	Castle Cerwyn	/reference/k/01280/index.html	The seat of House Cerwyn.	place
Castle Darry	Castle Darry	/reference/k/02201/index.html	The seat of House Darry.	place
Castle Hornwood	Castle Hornwood	/reference/k/02916/index.html	The seat of House Hornwood.	place
Castle Stokeworth	Castle Stokeworth	/reference/k/01281/index.html	The seat of House Stokeworth.	place
Chequy Water, The	The Chequy Water	/reference/k/02772/index.html	A stream in the Reach.	place
Chestnut	Chestnut	/reference/k/02749/index.html	An old swaybacked stot owned by Ser Arlan of Pennytree and ridden by his squire, Duncan.	place
Citadel, The	The Citadel	/reference/k/01173/index.html	The headquarters of the maesters.	place
Claw Isle	Claw Isle	/reference/k/01288/index.html	An island in the Narrow Sea containing the seat of House Celtigar.	place
Cockleswent	Cockleswent	/reference/k/02755/index.html	A river that is a tributary to the Mander.	place
Coldmoat	Coldmoat	/reference/k/02769/index.html	The seat of House Webber.	place
Coldwater Burn	Coldwater Burn	/reference/k/02228/index.html	The seat of House Coldwater.	place
Corpse Lake	Corpse Lake	/reference/k/02147/index.html	A keep on Great Wyk belonging to a branch of House Goodbrother.	place
Crackclaw Point	Crackclaw Point	/reference/k/01979/index.html	A peninsula wedged between the Bay of Crabs amd Blackwater Bay.	place
Crag, The	The Crag	/reference/k/01292/index.html	The seat of House Westerling.	place
Crakehall	Crakehall	/reference/k/02047/index.html	The seat of House Crakehall.	place
Craster's Keep	Craster's Keep	/reference/k/01817/index.html	The home of the wildling Craster.	place
Crow Spike Keep	Crow Spike Keep	/reference/k/02146/index.html	A keep on Great Wyk belonging to a branch of House Goodbrother.	place
Crownlands, The	The Crownlands	/reference/k/01209/index.html	Those lands that were directly ruled by House Targaryen.	place
Crows Nest	Crows Nest	/reference/k/02052/index.html	The seat of House Morrigen.	place
Darry River	Darry River	/reference/k/01826/index.html	A river in the Riverlands.	place
Deep Den	Deep Den	/reference/k/02074/index.html	The seat of House Lydden.	place
Deep Lake	Deep Lake	/reference/k/01929/index.html	One of the abandoned castles along the Wall.	place
Deepwood Motte	Deepwood Motte	/reference/k/01302/index.html	The seat of House Glover.	place
Derring Downs	Derring Downs	/reference/k/02815/index.html	A series of downs in the Reach.	place
Disputed Lands	Disputed Lands	/reference/k/01980/index.html	An area of the Eastern Continent that is claimed by several of the Free Cities.	place
Donnelwood	Donnelwood	/reference/k/02938/index.html	A town in the Riverlands.	place
Dorne	Dorne	/reference/k/01117/index.html	The southernmost of the seven principal regions of Westeros.	place
Dornish Marches	Dornish Marches	/reference/k/01310/index.html	That part of the Reach and the Stormlands that borders Dorne.	place
Dosk	Dosk	/reference/k/02762/index.html	A town in the Reach.	place
Dothraki Sea	Dothraki Sea	/reference/k/01180/index.html	A large expanse of territory with no hills, trees, cities, or roads. A hundred varieties of grasses grow in the Dothraki Sea, in hues varying from green, to indigo, and even to orange. It is the domain of the Dothraki people.	place
Downdelving	Downdelving	/reference/k/02145/index.html	A keep on Great Wyk belonging to a branch of House Goodbrother.	place
Dragonpit	Dragonpit	/reference/k/01981/index.html	The home of the Targaryen dragons in King's Landing.	place
Dragonstone	Dragonstone	/reference/k/01193/index.html	The ancestral home of House Targaryen.	place
Dragonstone	Dragonstone	/reference/k/02048/index.html	An island in the Narrow Sea.	place
Dreadfort, The	The Dreadfort	/reference/k/01120/index.html	The seat of House Bolton.	place
Driftmark	Driftmark	/reference/k/01313/index.html	The seat of House Velaryon.	place
Duskendale	Duskendale	/reference/k/01319/index.html	The seat of House Rykker.	place
Dyre Den	Dyre Den	/reference/k/02423/index.html	The seat of House Brune.	place
Eastwatch-by-the-Sea	Eastwatch-by-the-Sea	/reference/k/01165/index.html	One of three fortresses still maintained by the Night's Watch.	place
Estermont	Estermont	/reference/k/02467/index.html	An island off the coast of Cape Wrath.	place
Evenfall Hall	Evenfall Hall	/reference/k/01350/index.html	The seat of House Tarth.	place
Eyrie, The	The Eyrie	/reference/k/01133/index.html	The seat of House Arryn.	place
Fair Isle	Fair Isle	/reference/k/02143/index.html	An island off the coast of the Westerlands.	place
Faircastle	Faircastle	/reference/k/02849/index.html	The seat of House Farman on Fair Isle.	place
Fairmarket	Fairmarket	/reference/k/02530/index.html	A town in the Riverlands.	place
Far North, The	The Far North	/reference/k/01207/index.html	The region of Westeros beyond the Wall.	place
Fawnton	Fawnton	/reference/k/02945/index.html	The seat of House Cafferen.	place
Felwood	Felwood	/reference/k/02468/index.html	The seat of House Fell.	place
Fever River	Fever River	/reference/k/01892/index.html	A river in the North.	place
Fieldstone	Fieldstone	/reference/k/02940/index.html	A town in the Riverlands.	place
Fingers, The	The Fingers	/reference/k/01134/index.html	A stretch of coastline north of the Vale that juts into the sea like fingers.	place
Fist of the First Men	Fist of the First Men	/reference/k/01356/index.html	A lone mountain that rises next to the Milkwater at the edge of the Haunted Forest.	place
Flea Bottom	Flea Bottom	/reference/k/01987/index.html	Flea Bottom is a neighborhood that lies in the southeast quadrant of King's Landing. It is a maze of unpaved, narrow, crowded streets, filled with pigsties, stables, tanner sheds, winesinks and whorehouses.	place
