chapterID,characterID,event,details,withID
0,557,mentionned,,
0,808,mentionned,,
0,1045,mentionned,,
0,1434,mentionned,,
0,1808,mentionned,,
0,1825,mentionned,,
1,240,mentionned,,
1,456,mentionned,,
1,557,mentionned,,
1,708,mentionned,,
1,760,mentionned,,
1,851,mentionned,,
1,868,mentionned,,
1,1057,mentionned,,
1,1201,mentionned,,
1,1426,mentionned,,
1,1431,mentionned,,
1,1434,mentionned,,
1,1451,mentionned,,
1,1648,mentionned,,
2,136,mentionned,,
2,194,mentionned,,
2,243,mentionned,,
2,265,mentionned,,
2,287,mentionned,,
2,295,mentionned,,
2,456,mentionned,,
2,746,mentionned,,
2,836,mentionned,,
2,868,mentionned,,
2,1013,mentionned,,
2,1057,mentionned,,
2,1326,mentionned,,
2,1426,mentionned,,
2,1434,mentionned,,
2,1530,mentionned,,
2,1676,mentionned,,
3,352,mentionned,,
3,438,mentionned,,
3,483,mentionned,,
3,771,mentionned,,
3,785,mentionned,,
3,862,mentionned,,
3,1404,mentionned,,
3,1434,mentionned,,
3,1770,mentionned,,
4,154,mentionned,,
4,194,mentionned,,
4,243,mentionned,,
4,287,mentionned,,
4,295,mentionned,,
4,456,mentionned,,
4,785,mentionned,,
4,831,mentionned,,
4,836,mentionned,,
4,1015,mentionned,,
4,1404,mentionned,,
4,1422,mentionned,,
4,1432,mentionned,,
4,1434,mentionned,,
4,1528,mentionned,,
4,1530,mentionned,,
4,1648,mentionned,,
4,1716,mentionned,,
4,1727,mentionned,,
5,136,mentionned,,
5,194,mentionned,,
5,287,mentionned,,
5,295,mentionned,,
5,456,mentionned,,
5,760,mentionned,,
5,785,mentionned,,
5,831,mentionned,,
5,851,mentionned,,
5,1013,mentionned,,
5,1195,mentionned,,
5,1426,mentionned,,
5,1431,mentionned,,
5,1434,mentionned,,
5,1530,mentionned,,
5,1648,mentionned,,
5,1676,mentionned,,
5,1716,mentionned,,
5,1727,mentionned,,
6,27,mentionned,,
6,130,mentionned,,
6,136,mentionned,,
6,194,mentionned,,
6,240,mentionned,,
6,243,mentionned,,
6,287,mentionned,,
6,456,mentionned,,
6,462,mentionned,,
6,831,mentionned,,
6,836,mentionned,,
6,851,mentionned,,
6,1013,mentionned,,
6,1426,mentionned,,
6,1431,mentionned,,
6,1434,mentionned,,
6,1451,mentionned,,
6,1530,mentionned,,
7,136,mentionned,,
7,240,mentionned,,
7,287,mentionned,,
7,818,mentionned,,
7,831,mentionned,,
7,851,mentionned,,
7,1157,mentionned,,
7,1195,mentionned,,
7,1219,mentionned,,
7,1426,mentionned,,
7,1431,mentionned,,
7,1451,mentionned,,
7,1528,mentionned,,
7,1530,mentionned,,
7,1648,mentionned,,
7,1676,mentionned,,
8,20,mentionned,,
8,130,mentionned,,
8,136,mentionned,,
8,163,mentionned,,
