start,end,cost
10777,13552,0
19162,17952,0
2152,3351,0
2301,9891,0
2341,12314,0
2436,14458,0
3256,15219,0
3351,2152,0
3796,9777,0
4952,16244,0
5385,11063,0
5396,9769,0
7240,7526,0
7526,7240,0
8673,18052,0
9769,5396,0
9777,3796,0
9891,2301,0
10248,14738,0
933,11275,0
11050,11314,0
11063,5385,0
11275,933,0
11314,11050,0
12314,2341,0
13552,10777,0
14458,2436,0
14738,10248,0
15219,3256,0
15784,17438,0
15957,16724,0
16244,4952,0
16381,16799,0
16724,15957,0
16799,16381,0
17438,15784,0
17952,19162,0
18052,8673,0
6933,150,1
1241,3146,1
1252,15122,1
1259,13086,1
1271,17839,1
1322,1208,1
1409,18642,1
1411,10701,1
1420,6090,1
1583,11595,1
1614,11485,1
1634,187,1
1684,10461,1
1695,2927,1
1755,16026,1
1850,16907,1
1875,9119,1
1887,10538,1
1900,9194,1
1913,3026,1
1921,12584,1
1936,12212,1
1964,10238,1
1982,5848,1
1987,3293,1
2009,5474,1
2015,6189,1
2034,12260,1
2072,4502,1
2088,6950,1
2105,17327,1
2144,10722,1
200,492,1
2153,12238,1
2155,12240,1
2168,12507,1
2206,9821,1
225,7977,1
233,15291,1
2385,2608,1
2425,17974,1
241,1093,1
2487,5050,1
2523,16913,1
2541,904,1
2555,6967,1
2608,2385,1
2633,16922,1
2638,13323,1
2643,15249,1
2647,12149,1
2759,3469,1
2859,16776,1
2893,4412,1
2927,1695,1
2956,5685,1
2959,12707,1
2989,14383,1
2992,3194,1
3026,1913,1
3049,14881,1
3054,12233,1
3146,1241,1
3194,2992,1
260,16213,1
3284,10409,1
3293,1987,1
3296,19717,1
3339,17754,1
3346,4916,1
3350,3772,1
335,15006,1
3435,5750,1
3469,2759,1
3475,9523,1
3476,19227,1
3519,1155,1
3562,19321,1
3569,3747,1
3613,6890,1
3616,11525,1
3674,19529,1
3732,16394,1
3747,3569,1
3754,7353,1
3772,3350,1
3792,17203,1
347,17900,1
3899,9537,1
4132,4878,1
4146,9205,1
4152,16901,1
4167,11147,1
4192,685,1
4313,15934,1
4333,19869,1
4336,12766,1
4357,19602,1
4378,15611,1
4388,18780,1
4412,2893,1
4502,2072,1
4520,14503,1
4650,17510,1
4702,5676,1
4711,7793,1
4728,8254,1
4750,19726,1
4755,13054,1
4839,15835,1
4861,13658,1
4878,4132,1
4907,5046,1
4916,3346,1
405,19623,1
5033,11442,1
5046,4907,1
5050,2487,1
5060,5976,1
5079,12614,1
5081,1017,1
5124,17972,1
5144,14788,1
5195,6828,1
5286,794,1
5311,13063,1
5313,12161,1
492,200,1
5388,13046,1
545,624,1
5427,7433,1
5474,2009,1
5489,7563,1
5566,18518,1
5676,4702,1
5685,2956,1
5727,6752,1
5742,8083,1
5750,3435,1
5775,8621,1
5779,8990,1
5821,15042,1
5848,1982,1
5904,8506,1
5914,14976,1
5976,5060,1
6078,11637,1
6090,1420,1
6116,17074,1
6159,1054,1
6189,2015,1
6243,9711,1
6316,17998,1
6329,7488,1
6387,18603,1
6495,19019,1
6496,19977,1
6501,19167,1
6521,7001,1
6602,13013,1
6611,10210,1
6636,17666,1
6641,18584,1
6646,14041,1
6660,16327,1
6662,10413,1
6682,13425,1
6737,12133,1
6752,5727,1
6823,13140,1
6828,5195,1
6856,17347,1
6890,3613,1
187,1634,1
6950,2088,1
6963,15724,1
6967,2555,1
7001,6521,1
7003,19130,1
7071,17715,1
7083,1191,1
7110,14681,1
7219,15550,1
611,10698,1
7240,17492,1
7308,11486,1
7352,10449,1
7353,3754,1
7385,7865,1
7385,8119,1
7416,18650,1
7433,5427,1
7445,11311,1
7455,19889,1
7488,6329,1
7494,19313,1
7519,16109,1
624,545,1
7526,17492,1
7563,5489,1
7577,9972,1
7693,18612,1
7762,16741,1
7767,17652,1
7793,4711,1
7865,7385,1
7894,19901,1
7959,9770,1
7977,225,1
8010,12521,1
8070,11954,1
8083,5742,1
8119,7385,1
8254,4728,1
8355,749,1
8426,12156,1
8431,16660,1
8463,15004,1
8506,5904,1
8532,11219,1
8603,10368,1
8621,5775,1
8664,18686,1
632,12407,1
8798,11308,1
8832,14407,1
8942,15432,1
8990,5779,1
9083,9968,1
9083,11984,1
9083,15574,1
9119,1875,1
9157,13659,1
9170,19960,1
9194,1900,1
9205,4146,1
9244,10326,1
9261,14827,1
9306,18011,1
9348,12443,1
9380,19857,1
9443,10477,1
9453,17735,1
9466,11597,1
9523,3475,1
9537,3899,1
9611,10489,1
9711,6243,1
644,11366,1
9770,7959,1
673,13085,1
9796,1228,1
9821,2206,1
9825,16979,1
9857,13219,1
685,4192,1
9942,19438,1
9968,9083,1
9972,7577,1
10180,17031,1
10191,11008,1
10210,6611,1
10213,12434,1
10238,1964,1
749,8355,1
10300,18240,1
10326,9244,1
10339,1107,1
10368,8603,1
10397,17312,1
10409,3284,1
10413,6662,1
10448,14201,1
10449,7352,1
10461,1684,1
10477,9443,1
10489,9611,1
10495,13969,1
10527,12830,1
10538,1887,1
10576,17137,1
10682,15524,1
10698,611,1
10698,894,1
10701,1411,1
10703,15179,1
10722,2144,1
766,16905,1
10807,16570,1
11008,10191,1
11013,15058,1
777,11701,1
794,5286,1
11147,4167,1
11150,13826,1
11154,19213,1
11219,8532,1
800,15062,1
11308,8798,1
11311,7445,1
870,13888,1
11340,18840,1
11366,644,1
11442,5033,1
11485,1614,1
11486,7308,1
11497,19311,1
11524,1187,1
11525,3616,1
11583,16934,1
11595,1583,1
11597,9466,1
11637,6078,1
11669,17887,1
11701,777,1
11715,12822,1
11757,13759,1
11769,19731,1
11831,19440,1
11838,14092,1
11954,8070,1
11984,9083,1
12055,19095,1
12133,6737,1
12149,2647,1
12156,8426,1
12161,5313,1
12212,1936,1
12214,17778,1
12233,3054,1
12238,2153,1
12240,2155,1
12260,2034,1
12267,18769,1
12272,14550,1
894,10698,1
12329,17089,1
12407,632,1
12410,12522,1
12434,10213,1
12443,9348,1
12507,2168,1
12521,8010,1
12522,12410,1
12584,1921,1
12614,5079,1
12707,2959,1
12766,4336,1
12789,14207,1
12822,11715,1
12830,10527,1
12881,14733,1
12883,14692,1
13013,6602,1
13046,5388,1
13054,4755,1
13062,16643,1
13063,5311,1
13085,673,1
13086,1259,1
13140,6823,1
13219,9857,1
13278,15434,1
13282,13662,1
13323,2638,1
13376,13593,1
13425,6682,1
904,2541,1
13593,13376,1
13658,4861,1
13659,9157,1
13662,13282,1
13674,960,1
13759,11757,1
13802,13965,1
13803,1019,1
13826,11150,1
13860,15343,1
13888,870,1
13909,1210,1
13951,15965,1
13965,13802,1
13969,10495,1
14041,6646,1
14092,11838,1
14201,10448,1
14207,12789,1
14243,14851,1
14262,16965,1
14383,2989,1
14407,8832,1
14427,19279,1
150,6933,1
14503,4520,1
14550,12272,1
14566,19812,1
14642,15132,1
14681,7110,1
14692,12883,1
14733,12881,1
960,13674,1
14788,5144,1
14827,9261,1
14840,19986,1
14851,14243,1
14881,3049,1
14921,17648,1
14976,5914,1
14988,17781,1
15004,8463,1
15006,335,1
15042,5821,1
15050,18042,1
15058,11013,1
15062,800,1
15122,1252,1
15132,14642,1
15179,10703,1
1017,5081,1
15249,2643,1
15291,233,1
15343,13860,1
15432,8942,1
15434,13278,1
15524,10682,1
15536,19523,1
15550,7219,1
15574,9083,1
15611,4378,1
15724,6963,1
15777,19686,1
1019,13803,1
15835,4839,1
15934,4313,1
15940,19356,1
1054,6159,1
15965,13951,1
16026,1755,1
16109,7519,1
16213,260,1
1093,241,1
16327,6660,1
1107,10339,1
16394,3732,1
16567,16888,1
16570,10807,1
16643,13062,1
16660,8431,1
1155,3519,1
16741,7762,1
16776,2859,1
1187,11524,1
16822,19901,1
16888,16567,1
16901,4152,1
16905,766,1
16907,1850,1
16913,2523,1
16922,2633,1
16934,11583,1
16965,14262,1
16979,9825,1
16985,17502,1
17002,17633,1
17031,10180,1
17074,6116,1
17089,12329,1
17120,19357,1
17137,10576,1
17203,3792,1
17312,10397,1
17327,2105,1
17347,6856,1
1191,7083,1
17452,18255,1
17492,7240,1
17492,7526,1
17502,16985,1
17510,4650,1
17633,17002,1
17648,14921,1
17652,7767,1
17666,6636,1
17715,7071,1
17735,9453,1
17754,3339,1
17778,12214,1
17781,14988,1
17839,1271,1
17887,11669,1
17900,347,1
1208,1322,1
17972,5124,1
17974,2425,1
17998,6316,1
18011,9306,1
18042,15050,1
1210,13909,1
18240,10300,1
18255,17452,1
18518,5566,1
18519,18899,1
18584,6641,1
18603,6387,1
18612,7693,1
18642,1409,1
18650,7416,1
18686,8664,1
18769,12267,1
18780,4388,1
18840,11340,1
18899,18519,1
19019,6495,1
19033,19898,1
19095,12055,1
19130,7003,1
1228,9796,1
19167,6501,1
19182,19194,1
19194,19182,1
19213,11154,1
19227,3476,1
19279,14427,1
19311,11497,1
19313,7494,1
19321,3562,1
19356,15940,1
19357,17120,1
19438,9942,1
19440,11831,1
19523,15536,1
19529,3674,1
19602,4357,1
19623,405,1
19686,15777,1
19717,3296,1
19726,4750,1
19731,11769,1
19812,14566,1
19857,9380,1
19869,4333,1
19889,7455,1
19898,19033,1
19901,7894,1
19901,16822,1
19960,9170,1
19977,6496,1
19986,14840,1
20001,1,1
20001,2,1
20001,3,1
20001,4,1
20001,5,1
20001,6,1
20001,7,1
20001,8,1
20001,9,1
20001,10,1
20001,11,1
20001,12,1
20001,13,1
20001,14,1
20001,15,1
20001,16,1
20001,17,1
20001,18,1
20001,19,1
20001,20,1
20001,21,1
20001,22,1
20001,23,1
20001,24,1
20001,25,1
20001,26,1
20001,27,1
20001,28,1
20001,29,1
20001,30,1
20001,31,1
20001,32,1
20001,33,1
20001,34,1
20001,35,1
20001,36,1
20001,37,1
20001,38,1
20001,39,1
20001,40,1
20001,41,1
20001,42,1
20001,43,1
20001,44,1
20001,45,1
20001,46,1
20001,47,1
