message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length
t813	1	to	mention				1332895162		t472	
t326	1	to	mention				1338253481		t916	
t811	1	to	mention				1338255547		t917	
t810	1	to	mention				1341015276		t1232	
t1710	1	from	mention				1344646222		t1588	
t812	1	to	mention				1344646604		t1588	
t1067	1	from	mention				1345253992		t1600	
t949	1	from	mention				1346893691		t1662	
t1466	1	from	mention				1352765759		t2088	
t1305	1	from	dm				1329004924		dm1	
t1687	1	to	dm				1329006622		dm1	
t1007	1	from	dm				1329007893		dm1	
t1204	1	from	dm				1329008962		dm1	
t1738	1	to	dm				1329009067		dm1	
t1612	1	to	dm				1341534381		dm1	
t1147	1	to	dm				1341620073		dm1	
t1134	1	from	dm				1341624633		dm1	
t1054	1	from	dm				1341624637		dm1	
t1270	1	from	dm				1344649192		dm1	
t1354	2	to	mention				1333758164		t556	
t252	2	to	mention				1334190956		t569	
t992	2	from	mention				1342573053		t1442	
t254	2	to	mention				1343262576		t1518	
t198	2	from	mention				1344387505		t1563	
t832	2	from	mention				1344388758		t1563	
t833	2	from	mention				1344387592		t1563	
t831	2	from	mention				1344384513		t1563	
t1225	2	to	mention				1356742293		t2374	
t319	6	to	mention				1326157041		t42	
t898	6	to	mention				1334365627		t592	
t1341	6	to	mention				1334970993		t637	
t1719	6	to	mention				1335489464		t689	
t980	6	to	mention				1335574818		t694	
t1434	6	to	mention				1338597318		t970	
t885	6	from	mention				1350348424		t1839	
t1586	6	from	mention				1350348712		t1840	
t323	6	from	mention				1350348555		t1846	
t1430	6	to	mention				1350435975		t1865	
t1431	6	to	mention				1350608722		t1917	
t988	6	from	mention				1350609944		t1922	
t318	6	from	mention				1350609964		t1922	
t249	6	from	mention				1350610061		t1922	
t262	6	from	mention				1350610181		t1922	
t261	6	from	mention				1350605403		t1922	
t1433	6	to	mention				1350610159		t1923	
t1429	6	from	mention				1350610181		t1924	
t1428	6	to	mention				1350610203		t1925	
t1065	6	to	mention				1350609799		t1945	
t899	6	from	mention				1350695955		t1968	
t994	6	from	mention				1351037591		t2000	
t1094	6	from	mention				1351039349		t2001	
t1641	6	from	mention				1351038839		t2003	
t1071	6	from	mention				1352073899		t2035	
t1432	6	to	mention				1352679079		t2078	
t1082	6	to	mention				1352767327		t2082	
t1066	6	from	mention				1352770656		t2082	
t1240	6	from	mention				1352769427		t2085	
t1647	6	from	mention				1354753885		t2187	
t1255	6	from	dm				1350350838		dm6	
t1159	6	to	dm				1350350936		dm6	
t1126	6	from	dm				1350350951		dm6	
t192	6	to	dm				1350350981		dm6	
t1008	6	from	dm				1350351041		dm6	
t1108	6	to	dm				1350351082		dm6	
t1209	6	from	dm				1350351131		dm6	
t194	6	from	dm				1350351142		dm6	
t1729	6	to	dm				1350351153		dm6	
t1692	6	from	dm				1350351172		dm6	
t1078	6	from	dm				1350351195		dm6	
t1688	6	to	dm				1350351228		dm6	
t1350	6	to	dm				1350351269		dm6	
t1699	6	to	dm				1350351318		dm6	
t1020	6	from	dm				1350351318		dm6	
t1587	6	from	dm				1350351412		dm6	
t193	6	from	dm				1350351427		dm6	
t304	6	to	dm				1350351446		dm6	
t1087	6	to	dm				1350351498		dm6	
t1236	6	from	dm				1350351524		dm6	
t1279	6	from	dm				1350434951		dm6	
t1109	6	from	dm				1350435696		dm6	
t1271	6	to	dm				1350436447		dm6	
t959	6	to	dm				1350436518		dm6	
t1136	6	from	dm				1350436653		dm6	
t1556	7	to	mention				1328230458		t154	
t24	7	to	mention				1329264209		t181	
t1557	7	to	mention				1331773045		t378	
t840	7	to	mention				1331856157		t390	
t1549	7	to	mention				1333412328		t512	
t843	7	to	mention				1334191008		t570	
t830	7	to	mention				1334191521		t571	
t850	7	to	mention				1334191079		t576	
t898	7	to	mention				1334365627		t592	
t851	7	to	mention				1335139759		t664	
t1508	7	to	mention				1335400308		t677	
t980	7	to	mention				1335574818		t694	
t1553	7	to	mention				1335832499		t719	
t837	7	to	mention				1336177345		t741	
t1048	7	to	mention				1336351604		t754	
t846	7	to	mention				1336867604		t816	
t1550	7	to	mention				1337819475		t886	
t748	7	to	mention				1337908515		t900	
t593	7	to	mention				1337904221		t901	
t592	7	to	mention				1337904513		t903	
t836	7	to	mention				1338252397		t925	
t1544	7	to	mention				1339632243		t1049	
t844	7	to	mention				1340065304		t1109	
t849	7	to	mention				1340064033		t1118	
t1125	7	to	mention				1340671222		t1193	
t1554	7	to	mention				1340760989		t1214	
t852	7	to	mention				1341017797		t1228	
t566	7	to	mention				1341018254		t1229	
t199	7	to	mention				1341105959		t1239	
t1681	7	to	mention				1341274904		t1248	
t839	7	to	mention				1341275193		t1249	
t841	7	to	mention				1341275965		t1252	
t848	7	to	mention				1341275966		t1253	
t838	7	to	mention				1341276123		t1254	
t855	7	to	mention				1341276543		t1258	
t1680	7	to	mention				1341363427		t1272	
t81	7	to	mention				1341448638		t1280	
t989	7	to	mention				1341969581		t1372	
t856	7	to	mention				1341968152		t1375	
t1552	7	to	mention				1342055764		t1380	
t842	7	to	mention				1342055943		t1381	
t1224	7	to	mention				1342313973		t1424	
t845	7	to	mention				1342659064		t1448	
t853	7	to	mention				1342745917		t1460	
t450	7	from	mention				1342746007		t1460	
t834	7	from	mention				1342746457		t1460	
t835	7	from	mention				1342746427		t1460	
t266	7	from	mention				1342746501		t1460	
t268	7	from	mention				1342746656		t1460	
t309	7	from	mention				1342746813		t1460	
t269	7	from	mention				1342746813		t1460	
t1551	7	to	mention				1343868625		t1538	
t1547	7	to	mention				1343953492		t1543	
t33	7	to	mention				1344298278		t1559	
t1456	7	from	mention				1344298998		t1560	
t198	7	from	mention				1344387505		t1563	
t832	7	from	mention				1344388758		t1563	
t833	7	from	mention				1344387592		t1563	
t831	7	from	mention				1344384513		t1563	
t452	7	from	mention				1346289086		t1624	
t847	7	to	mention				1346286397		t1624	
t429	7	from	mention				1346288179		t1624	
t1009	7	from	mention				1346463521		t1628	
t375	7	from	mention				1346807373		t1644	
t854	7	to	mention				1346807512		t1644	
t447	7	from	mention				1346807568		t1644	
t1063	7	from	mention				1346807039		t1647	
t1644	7	from	mention				1346807013		t1650	
t1558	7	to	mention				1347499083		t1702	
t396	7	from	mention				1347584602		t1704	
